kod,ad,bolumKod,sinif,donem
MAT101,Matematik I,BM,1,guz
FIZ101,Fizik I,BM,1,guz
TRD101,Türk Dili I,BM,1,guz
ATA101,Atatürk İlkeleri ve İnkılap Tarihi I,BM,1,guz
ING101,Temel İngilizce I,BM,1,guz
BYM101,Bilgisayar Programlama I,BM,1,guz
BIL101,Bilgisayar Mühendisliğine Giriş,BM,1,guz
BYM201,Nesne Yönelimli Programlama,BM,2,guz
MAT205,Ayrık Matematik,BM,2,guz
MEK201,Elektronik Devreler,BM,2,guz
MAT201,Lineer Cebir,BM,2,guz
ISG201,İş Sağlığı Güvenliği,BM,2,guz
BYM402,Programlama Dillerinin Temelleri,BM,2,guz
BYM301,Veritabanı Yönetimi,BM,3,guz
BYM303,Algoritma Analizi,BM,3,guz
BIL305,Yazılım Proje Yönetimi,BM,3,guz
MAT301,Olasılık ve İstatistik,BM,3,guz
BIL301,Bilgisayar Mimarisi,BM,3,guz
BYM448,Biçimsel Diller ve Otomata Teorisi,BM,4,guz
BYM455,Bulut Bilişim,BM,4,guz
BYM464,Paralel Programlama,BM,4,guz
BYM487,Derin Öğrenmeye Giriş,BM,4,guz
BYM412,Robotik,BM,4,guz
BYM452,Doğal Dil İşleme,BM,4,guz
CSE101,Computer Programming I,CE,1,guz
COE101,Introduction to Computer Engineering,CE,1,guz
MTH101,Mathematics I,CE,1,guz
PHY101,Physics I,CE,1,guz
TRD111,Turkish Language I,CE,1,guz
ATA111,Principles of Atatürk and History of Turkish Revolution I,CE,1,guz
ENG151,Academic English I,CE,1,guz
MCH201,Electronic Circuits,CE,2,guz
CSE201,Object Oriented Programming,CE,2,guz
MTH205,Discrete Mathematics,CE,2,guz
MTH201,Linear Algebra,CE,2,guz
OHS201,Occupational Health and Safety I,CE,2,guz
CSE402,Pirinciples of  Programming Languages,CE,2,guz
CSE301,Database Management,CE,3,guz
CSE303,Algorithm Analysis,CE,3,guz
COE305,Software Project Management,CE,3,guz
MTH301,Probability and Statistics,CE,3,guz
COE301,Computer Architecture,CE,3,guz
CSE455,Cloud İnformation,CE,4,guz
CSE452,Natural Languages Proccesing,CE,4,guz
CSE412,Robotics,CE,4,guz
CSE487,Introduction to Deep Learning,CE,4,guz
CSE448,Formal Languages and Automata Theory,CE,4,guz
ENM101,Endüstri Mühendisliğine Giriş,END,1,guz
KIM103,Genel Kimya,END,1,guz
KRY101,Kariyer Planlama,END,1,guz
MAT203,Diferansiyel Denklemler,END,2,guz
ENM205,Üretim Sistemleri,END,2,guz
ENM209,Yapısal Programlama,END,2,guz
ENM207,İş Etüdü ve Ergonomi,END,2,guz
ENM307,Kalite Sistemlerinin Tasarımı ve Yönetimi,END,3,guz
ENM301,Yöneylem Araştırması II,END,3,guz
ENM315,Mühendislik Ekonomisi,END,3,guz
ENM305,Üretim Planlama ve Kontrol,END,3,guz
ENM309,Tedarik Zinciri Yönetimi,END,3,guz
ENM465,İnsan Kaynakları Yönetimi,END,4,guz
ENM451,Kurumsal Kaynak Planlama,END,4,guz
ENM455,Fizibilite Yönetimi,END,4,guz
IND101,Introduction to Industrial ENgineering,IE,1,guz
CPL101,Career Planning,IE,1,guz
CHM103,General Chemistry,IE,1,guz
MTH203,Differantial Equations,IE,2,guz
IND203,Work Study and Ergonomics,IE,2,guz
IND209,Structured Programming,IE,2,guz
IND305,Production Planning Control,IE,3,guz
IND303,Engineering Economics,IE,3,guz
IND307,Design and Management of Quality Systems,IE,3,guz
IND309,Supply Chain Management,IE,3,guz
IND301,Operations Research II,IE,3,guz
ETM155,İletişim Teknik ve Teknolojileri I,ETM,1,guz
ETM105,Temel Tasarım I (Section I),ETM,1,guz
ETM185,Endüstriyel Tasarım Mühendisliğine Giriş,ETM,1,guz
ETM255,İletişim Teknik ve Teknolojileri III,ETM,2,guz
ETM245,Tasarım Teknolojisi II,ETM,2,guz
MEK213,Statik ve Mukavemet,ETM,2,guz
ETM235,Tasarım Tarihi I,ETM,2,guz
ETM265,Tasarım Yöntem,ETM,2,guz
ETM205,Ürün Tasarımı I (Section III),ETM,2,guz
ETM206,Ürün Tasarımı II (Irregular),ETM,2,guz
ETM305,Ürün Tasarımı III (Section I),ETM,3,guz
ETM325,Tasarım Deneyimi,ETM,3,guz
ETM395,Minimal Ürün Tasarımı,ETM,3,guz
ETM345,Tasarım Teknolojisi IV,ETM,3,guz
ETM367,Makine Elemanları,ETM,3,guz
ETM317,Tersine Mühendislik ve Hızlı Prototipleme,ETM,3,guz
ETM319,Tersine Mühendislik ve Hızlı Prototipleme,ETM,3,guz
ETM355,İleri İletişim Teknikleri,ETM,3,guz
ETM316,Ürün Tasarımı IV (Irregular),ETM,3,guz
ETM313,Moda Aksesuarları Tasarımı,ETM,3,guz
ETM463,Ambalaj Tasarımı,ETM,4,guz
ETM465,Yeni Ürün Geliştirme,ETM,4,guz
MAK205,Termodinamik,ETM,4,guz
ETM405,Ürün Tasarımı V,ETM,4,guz
ETM406,Bitirme Projesi (Irregular),ETM,4,guz
ETM445,Sistematik Tasarım,ETM,4,guz
MAK101,Makine Mühendisliğine Giriş,MAK,1,guz
MAK103,Bilgisayar Destekli Teknik Resim I,MAK,1,guz
MAK209,Mukavemet,MAK,2,guz
MAK213,Malzeme Bilimi,MAK,2,guz
MAK219,Termodinamik I,MAK,2,guz
MAK217,Makine Laboratuvarı I,MAK,2,guz
MAK307,Makine Elemanları,MAK,3,guz
MAK313,Makine Laboratuvarı II,MAK,3,guz
MAK311,Isı Geçişi,MAK,3,guz
MAK301,Akışkanlar Mekaniği,MAK,3,guz
