ad,bina,tip,kapasite
A202,A Blok,sinif,40
A204,A Blok,sinif,40
A208,A Blok,sinif,40
A302,A Blok,sinif,40
A308,A Blok,sinif,40
A309,A Blok,sinif,40
B101,B Blok,sinif,40
B102,B Blok,sinif,40
B204,B Blok,sinif,40
B301,B Blok,sinif,40
B306,B Blok,sinif,40
B701,B Blok,sinif,40
B702,B Blok,sinif,40
B705,B Blok,sinif,40
B706,B Blok,sinif,40
C102,C Blok,sinif,40
C103,C Blok,sinif,40
C104,C Blok,sinif,40
C204,C Blok,sinif,40
C301,C Blok,sinif,40
C303,C Blok,sinif,40
C304,C Blok,sinif,40
C306,C Blok,sinif,40
C401,C Blok,sinif,40
C402,C Blok,sinif,40
C403,C Blok,sinif,40
C405,C Blok,sinif,40
C501,C Blok,sinif,40
C503,C Blok,sinif,40
C601,C Blok,sinif,40
C602,C Blok,sinif,40
C603,C Blok,sinif,40
